일자(YYYYMMDD),연령,성별,발신지(시도),발신지(시군구),대분류,중분류,통화비율(시군구내)
20191030,50,여성,충남,천안시 서북구,음식점,한식,0.0002
20191030,30,남성,충남,천안시 서북구,음식점,치킨,0.0001
20191030,40,여성,충남,천안시 서북구,음식점,한식,0.0002
20191030,40,남성,충남,천안시 서북구,음식점,치킨,0.0001
20191031,40,남성,충남,천안시 서북구,음식점,치킨,0.0001
20191031,30,남성,충남,천안시 서북구,음식점,치킨,0.0001
20191031,50,여성,충남,천안시 서북구,음식점,한식,0.0002
20191031,40,여성,충남,천안시 서북구,음식점,분식,0.0001
20191031,40,여성,충남,천안시 서북구,음식점,치킨,0.0002
20191031,40,남성,충남,천안시 서북구,음식점,한식,0.0002
20191031,30,남성,충남,천안시 서북구,음식점,한식,0.0002
20191031,40,여성,충남,천안시 서북구,음식점,한식,0.0002
20191031,30,여성,충남,천안시 서북구,음식점,치킨,0.0001
20191031,50,남성,충남,천안시 서북구,음식점,한식,0.0002
20191031,30,여성,충남,천안시 서북구,음식점,한식,0.0002
